# Longitude	Latitude	Distance	Redshift
1.701106810598952412e+00 -1.535316298556136161e+00 3.424000000000000199e+01 7.682488187232534502e-03
2.468045385294021621e+00 7.080279737909181970e-01 2.858999999999999986e+01 6.420929717020270981e-03
5.402022976776606811e+00 3.390330083358613078e-01 7.726000000000000512e+01 1.721110637339866647e-02
5.540514275300180813e+00 -1.146490992614669580e+00 4.464710613238464987e+01 1.000000000000000021e-02
4.140366337981145506e+00 7.224941109539203543e-01 1.777773670716930354e+01 4.000000000000000083e-03
5.845920848063215658e+00 9.876126419724881034e-01 1.777773670716930354e+01 4.000000000000000083e-03
1.824066708871827924e-01 6.640786838290432259e-01 4.464710613238464987e+01 1.000000000000000021e-02
2.232627230453549050e+00 1.567790709523090853e-01 8.996613008088507968e+01 2.000000000000000042e-02
